,start_date,end_date,timeframe,fiscal_period,fiscal_year,cik,sic,tickers,company_name,filing_date,acceptance_datetime,source_filing_url,source_filing_file_url,balance_sheet.accounts_payable.value,balance_sheet.equity_attributable_to_noncontrolling_interest.value,balance_sheet.other_current_assets.value,balance_sheet.liabilities_and_equity.value,balance_sheet.noncurrent_assets.value,balance_sheet.equity_attributable_to_parent.value,balance_sheet.current_assets.value,balance_sheet.inventory.value,balance_sheet.fixed_assets.value,balance_sheet.liabilities.value,balance_sheet.assets.value,balance_sheet.equity.value,balance_sheet.long_term_debt.value,balance_sheet.noncurrent_liabilities.value,balance_sheet.other_noncurrent_assets.value,balance_sheet.other_noncurrent_liabilities.value,balance_sheet.current_liabilities.value,balance_sheet.other_current_liabilities.value,cash_flow_statement.net_cash_flow_from_investing_activities_continuing.value,cash_flow_statement.net_cash_flow_continuing.value,cash_flow_statement.net_cash_flow_from_operating_activities_continuing.value,cash_flow_statement.net_cash_flow_from_financing_activities_continuing.value,cash_flow_statement.net_cash_flow_from_operating_activities.value,cash_flow_statement.net_cash_flow_from_financing_activities.value,cash_flow_statement.net_cash_flow_from_investing_activities.value,cash_flow_statement.net_cash_flow.value,income_statement.benefits_costs_expenses.value,income_statement.net_income_loss_attributable_to_parent.value,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic.value,income_statement.operating_expenses.value,income_statement.diluted_earnings_per_share.value,income_statement.income_loss_from_continuing_operations_after_tax.value,income_statement.operating_income_loss.value,income_statement.net_income_loss_available_to_common_stockholders_basic.value,income_statement.research_and_development.value,income_statement.costs_and_expenses.value,income_statement.basic_average_shares.value,income_statement.gross_profit.value,income_statement.preferred_stock_dividends_and_other_adjustments.value,income_statement.diluted_average_shares.value,income_statement.net_income_loss.value,income_statement.cost_of_revenue.value,income_statement.nonoperating_income_loss.value,income_statement.net_income_loss_attributable_to_noncontrolling_interest.value,income_statement.income_loss_from_continuing_operations_before_tax.value,income_statement.income_tax_expense_benefit.value,income_statement.basic_earnings_per_share.value,income_statement.selling_general_and_administrative_expenses.value,income_statement.revenues.value,income_statement.interest_expense_operating.value,income_statement.income_tax_expense_benefit_deferred.value,balance_sheet.intangible_assets.value,income_statement.depreciation_and_amortization.value,balance_sheet.wages.value,income_statement.income_loss_before_equity_method_investments.value,balance_sheet.commitments_and_contingencies.value
0,2023-06-30,2024-06-29,ttm,TTM,,0000320193,3571,['AAPL'],APPLE INC,,,,,47574000000.0,0,119270000000.0,331612000000.0,206177000000.0,66708000000.0,125435000000.0,6165000000.0,44502000000.0,264904000000.0,331612000000.0,66708000000.0,98300000000.0,133280000000.0,161675000000.0,34980000000.0,131624000000.0,84050000000.0,3884000000.0,-3263000000.0,113041000000.0,-120188000000.0,113041000000.0,-120188000000.0,3884000000.0,-3263000000.0,264730000000.0,101956000000.0,0,56637000000.0,6.57,101956000000.0,120594000000.0,101956000000.0,30912000000.0,264730000000.0,30697065000.0,177231000000.0,0,30822134000.0,101956000000.0,208372000000.0,279000000.0,0,120873000000.0,18917000000.0,6.59,25725000000.0,385603000000.0,,,,,,,
1,2024-03-31,2024-06-29,quarterly,Q3,2024,0000320193,3571,['AAPL'],Apple Inc.,2024-08-02,2024-08-01T22:03:34Z,https://api.polygon.io/v1/reference/sec/filings/0000320193-24-000081,http://api.polygon.io/v1/reference/sec/filings/0000320193-24-000081/files/aapl-20240629_htm.xml,47574000000.0,0,119270000000.0,331612000000.0,206177000000.0,66708000000.0,125435000000.0,6165000000.0,44502000000.0,264904000000.0,331612000000.0,66708000000.0,98300000000.0,133280000000.0,161675000000.0,34980000000.0,131624000000.0,84050000000.0,-127000000.0,-7286000000.0,28858000000.0,-36017000000.0,28858000000.0,-36017000000.0,-127000000.0,-7286000000.0,60283000000.0,21448000000.0,0,14326000000.0,1.4,21448000000.0,25352000000.0,21448000000.0,8006000000.0,60283000000.0,15287521000.0,39678000000.0,0,15348175000.0,21448000000.0,46099000000.0,142000000.0,0,25494000000.0,4046000000.0,1.4,6320000000.0,85777000000.0,,,,,,,
2,2023-12-31,2024-03-30,quarterly,Q2,2024,0000320193,3571,['AAPL'],Apple Inc.,2024-05-03,2024-05-02T22:04:25Z,https://api.polygon.io/v1/reference/sec/filings/0000320193-24-000069,http://api.polygon.io/v1/reference/sec/filings/0000320193-24-000069/files/aapl-20240330_htm.xml,45753000000.0,0,122184000000.0,337411000000.0,208995000000.0,74194000000.0,128416000000.0,6232000000.0,43546000000.0,263217000000.0,337411000000.0,74194000000.0,102600000000.0,139395000000.0,165449000000.0,36795000000.0,123822000000.0,78069000000.0,-310000000.0,-8053000000.0,22690000000.0,-30433000000.0,22690000000.0,-30433000000.0,-310000000.0,-8053000000.0,62695000000.0,23636000000.0,0,14371000000.0,1.53,23636000000.0,27900000000.0,23636000000.0,7903000000.0,62695000000.0,15405856000.0,42271000000.0,0,15464709000.0,23636000000.0,48482000000.0,158000000.0,0,28058000000.0,4422000000.0,1.53,6468000000.0,90753000000.0,,,,,,,
3,2023-10-01,2023-12-30,quarterly,Q1,2024,0000320193,3571,['AAPL'],Apple Inc.,2024-02-02,2024-02-01T23:03:38Z,https://api.polygon.io/v1/reference/sec/filings/0000320193-24-000006,http://api.polygon.io/v1/reference/sec/filings/0000320193-24-000006/files/aapl-20231230_htm.xml,58146000000.0,0,137181000000.0,353514000000.0,209822000000.0,74100000000.0,143692000000.0,6511000000.0,43666000000.0,279414000000.0,353514000000.0,74100000000.0,106000000000.0,145441000000.0,166156000000.0,39441000000.0,133973000000.0,75827000000.0,1927000000.0,11237000000.0,39895000000.0,-30585000000.0,39895000000.0,-30585000000.0,1927000000.0,11237000000.0,79252000000.0,33916000000.0,0,14482000000.0,2.18,33916000000.0,40373000000.0,33916000000.0,7696000000.0,79252000000.0,15509763000.0,54855000000.0,0,15576641000.0,33916000000.0,64720000000.0,-50000000.0,0,40323000000.0,6407000000.0,2.19,6786000000.0,119575000000.0,,,,,,,
4,2023-07-02,2023-09-30,quarterly,Q4,2023,0000320193,3571,['AAPL'],Apple Inc.,,,,,62611000000.0,0,137235000000.0,352583000000.0,209017000000.0,62146000000.0,143566000000.0,6331000000.0,43715000000.0,290437000000.0,352583000000.0,62146000000.0,105103000000.0,145129000000.0,165302000000.0,40026000000.0,145308000000.0,82697000000.0,2394000000.0,839000000.0,21598000000.0,-23153000000.0,21598000000.0,-23153000000.0,2394000000.0,839000000.0,62500000000.0,22956000000.0,0,13458000000.0,1.46,22956000000.0,26969000000.0,22956000000.0,7307000000.0,62500000000.0,-48266000.0,40427000000.0,0,-46716000.0,22956000000.0,49071000000.0,29000000.0,0,26998000000.0,4042000000.0,1.4699999999999998,6151000000.0,89498000000.0,1002000000.0,,,,,,
5,2022-09-25,2023-09-30,annual,FY,2023,0000320193,3571,['AAPL'],Apple Inc.,2023-11-03,2023-11-02T22:08:27Z,https://api.polygon.io/v1/reference/sec/filings/0000320193-23-000106,http://api.polygon.io/v1/reference/sec/filings/0000320193-23-000106/files/aapl-20230930_htm.xml,62611000000.0,0,137235000000.0,352583000000.0,209017000000.0,62146000000.0,143566000000.0,6331000000.0,43715000000.0,290437000000.0,352583000000.0,62146000000.0,105103000000.0,145129000000.0,165302000000.0,40026000000.0,145308000000.0,82697000000.0,3705000000.0,5760000000.0,110543000000.0,-108488000000.0,110543000000.0,-108488000000.0,3705000000.0,5760000000.0,269549000000.0,96995000000.0,0,54847000000.0,6.13,96995000000.0,114301000000.0,96995000000.0,29915000000.0,269549000000.0,15744231000.0,169148000000.0,0,15812547000.0,96995000000.0,214137000000.0,-565000000.0,0,113736000000.0,16741000000.0,6.16,24932000000.0,383285000000.0,3933000000.0,,,,,,
6,2023-04-02,2023-07-01,quarterly,Q3,2023,0000320193,3571,['AAPL'],Apple Inc.,2023-08-04,2023-08-03T22:04:43Z,https://api.polygon.io/v1/reference/sec/filings/0000320193-23-000077,http://api.polygon.io/v1/reference/sec/filings/0000320193-23-000077/files/aapl-20230701_htm.xml,46699000000.0,0,115308000000.0,335038000000.0,212379000000.0,60274000000.0,122659000000.0,7351000000.0,43550000000.0,274764000000.0,335038000000.0,60274000000.0,105300000000.0,149801000000.0,168829000000.0,44501000000.0,124963000000.0,78264000000.0,437000000.0,2769000000.0,26380000000.0,-24048000000.0,26380000000.0,-24048000000.0,437000000.0,2769000000.0,59064000000.0,19881000000.0,0,13415000000.0,1.26,19881000000.0,22998000000.0,19881000000.0,7442000000.0,59064000000.0,15697614000.0,36413000000.0,0,15775021000.0,19881000000.0,45384000000.0,-265000000.0,0,22733000000.0,2852000000.0,1.27,5973000000.0,81797000000.0,998000000.0,,,,,,
7,2023-01-01,2023-04-01,quarterly,Q2,2023,0000320193,3571,['AAPL'],Apple Inc.,2023-05-05,2023-05-04T22:03:52Z,https://api.polygon.io/v1/reference/sec/filings/0000320193-23-000064,http://api.polygon.io/v1/reference/sec/filings/0000320193-23-000064/files/aapl-20230401_htm.xml,42945000000.0,0,105431000000.0,332160000000.0,219247000000.0,62158000000.0,112913000000.0,7482000000.0,43398000000.0,270002000000.0,332160000000.0,62158000000.0,107600000000.0,149927000000.0,175849000000.0,42327000000.0,120075000000.0,77130000000.0,2319000000.0,5155000000.0,28560000000.0,-25724000000.0,28560000000.0,-25724000000.0,2319000000.0,5155000000.0,66454000000.0,24160000000.0,0,13658000000.0,1.52,24160000000.0,28318000000.0,24160000000.0,7457000000.0,66454000000.0,15787154000.0,41976000000.0,0,15847050000.0,24160000000.0,52860000000.0,64000000.0,0,28382000000.0,4222000000.0,1.53,6201000000.0,94836000000.0,930000000.0,,,,,,
8,2022-09-25,2022-12-31,quarterly,Q1,2023,0000320193,3571,['AAPL'],Apple Inc.,2023-02-03,,https://api.polygon.io/v1/reference/sec/filings/0000320193-23-000006,http://api.polygon.io/v1/reference/sec/filings/0000320193-23-000006/files/aapl-20221231_htm.xml,57918000000.0,0,121957000000.0,346747000000.0,217970000000.0,56727000000.0,128777000000.0,6820000000.0,42951000000.0,290020000000.0,346747000000.0,56727000000.0,109400000000.0,152734000000.0,175019000000.0,43334000000.0,137286000000.0,79368000000.0,-1445000000.0,-3003000000.0,34005000000.0,-35563000000.0,34005000000.0,-35563000000.0,-1445000000.0,-3003000000.0,81531000000.0,29998000000.0,0,14316000000.0,1.88,29998000000.0,36016000000.0,29998000000.0,7709000000.0,81531000000.0,15892723000.0,50332000000.0,0,15955718000.0,29998000000.0,66822000000.0,-393000000.0,0,35623000000.0,5625000000.0,1.89,6607000000.0,117154000000.0,1003000000.0,,,,,,
9,2022-06-26,2022-09-24,quarterly,Q4,2022,0000320193,3571,['AAPL'],Apple Inc.,,,,,64115000000.0,0,130459000000.0,352755000000.0,217350000000.0,50672000000.0,135405000000.0,4946000000.0,42117000000.0,302083000000.0,352755000000.0,50672000000.0,,148101000000.0,175233000000.0,,153982000000.0,89867000000.0,-1217000000.0,-3884000000.0,24127000000.0,-26794000000.0,24127000000.0,-26794000000.0,-1217000000.0,-3884000000.0,65489000000.0,20721000000.0,0,13201000000.0,1.29,20721000000.0,24894000000.0,20721000000.0,6761000000.0,65489000000.0,-61861000.0,38095000000.0,0,-69118000.0,20721000000.0,52051000000.0,-237000000.0,0,24657000000.0,3936000000.0,1.29,6440000000.0,90146000000.0,827000000.0,-1861000000.0,,,,,
10,2021-09-26,2022-09-24,annual,FY,2022,0000320193,3571,['AAPL'],Apple Inc.,2022-10-28,,https://api.polygon.io/v1/reference/sec/filings/0000320193-22-000108,http://api.polygon.io/v1/reference/sec/filings/0000320193-22-000108/files/aapl-20220924_htm.xml,64115000000.0,0,130459000000.0,352755000000.0,217350000000.0,50672000000.0,135405000000.0,4946000000.0,42117000000.0,302083000000.0,352755000000.0,50672000000.0,,148101000000.0,175233000000.0,,153982000000.0,89867000000.0,-22354000000.0,-10952000000.0,122151000000.0,-110749000000.0,122151000000.0,-110749000000.0,-22354000000.0,-10952000000.0,275225000000.0,99803000000.0,0,51345000000.0,6.11,99803000000.0,119437000000.0,99803000000.0,26251000000.0,275225000000.0,16215963000.0,170782000000.0,0,16325819000.0,99803000000.0,223546000000.0,-334000000.0,0,119103000000.0,19300000000.0,6.15,25094000000.0,394328000000.0,2931000000.0,895000000.0,,,,,
11,2022-03-27,2022-06-25,quarterly,Q3,2022,0000320193,3571,['AAPL'],Apple Inc.,2022-07-29,,https://api.polygon.io/v1/reference/sec/filings/0000320193-22-000070,http://api.polygon.io/v1/reference/sec/filings/0000320193-22-000070/files/aapl-20220625_htm.xml,48343000000.0,0,106859000000.0,336309000000.0,224017000000.0,58107000000.0,112292000000.0,5433000000.0,40335000000.0,278202000000.0,336309000000.0,58107000000.0,108700000000.0,148329000000.0,183682000000.0,39629000000.0,129873000000.0,81530000000.0,4234000000.0,-319000000.0,22892000000.0,-27445000000.0,22892000000.0,-27445000000.0,4234000000.0,-319000000.0,59893000000.0,19442000000.0,0,12809000000.0,1.2,19442000000.0,23076000000.0,19442000000.0,6797000000.0,59893000000.0,16162945000.0,35885000000.0,0,16262203000.0,19442000000.0,47074000000.0,-10000000.0,0,23066000000.0,3624000000.0,1.2,6012000000.0,82959000000.0,719000000.0,1668000000.0,,,,,
12,2021-12-26,2022-03-26,quarterly,Q2,2022,0000320193,3571,['AAPL'],Apple Inc.,2022-04-29,,https://api.polygon.io/v1/reference/sec/filings/0000320193-22-000059,http://api.polygon.io/v1/reference/sec/filings/0000320193-22-000059/files/aapl-20220326_htm.xml,52682000000.0,0,112720000000.0,350662000000.0,232482000000.0,67399000000.0,118180000000.0,5460000000.0,39304000000.0,283263000000.0,350662000000.0,67399000000.0,113000000000.0,155755000000.0,193178000000.0,42755000000.0,127508000000.0,74826000000.0,-9265000000.0,-9450000000.0,28166000000.0,-28351000000.0,28166000000.0,-28351000000.0,-9265000000.0,-9450000000.0,67139000000.0,25010000000.0,0,12580000000.0,1.52,25010000000.0,29979000000.0,25010000000.0,6387000000.0,67139000000.0,16278802000.0,42559000000.0,0,16403316000.0,25010000000.0,54719000000.0,160000000.0,0,30139000000.0,5129000000.0,1.54,6193000000.0,97278000000.0,691000000.0,406000000.0,,,,,
13,2021-09-26,2021-12-25,quarterly,Q1,2022,0000320193,3571,['AAPL'],Apple Inc.,2022-01-28,,https://api.polygon.io/v1/reference/sec/filings/0000320193-22-000007,http://api.polygon.io/v1/reference/sec/filings/0000320193-22-000007/files/aapl-20211225_htm.xml,74362000000.0,0,147278000000.0,381191000000.0,228037000000.0,71932000000.0,153154000000.0,5876000000.0,39245000000.0,309259000000.0,381191000000.0,71932000000.0,117800000000.0,161685000000.0,188792000000.0,43885000000.0,147574000000.0,73212000000.0,-16106000000.0,2701000000.0,46966000000.0,-28159000000.0,46966000000.0,-28159000000.0,-16106000000.0,2701000000.0,82704000000.0,34630000000.0,0,12755000000.0,2.1,34630000000.0,41488000000.0,34630000000.0,6306000000.0,82704000000.0,16391724000.0,54243000000.0,0,16519291000.0,34630000000.0,69702000000.0,-247000000.0,0,41241000000.0,6611000000.0,2.11,6449000000.0,123945000000.0,694000000.0,682000000.0,,,,,
14,2021-06-27,2021-09-25,quarterly,Q4,2021,0000320193,3571,['AAPL'],Apple Inc.,,,,,54763000000.0,0,128256000000.0,351002000000.0,216166000000.0,63090000000.0,134836000000.0,6580000000.0,39440000000.0,287912000000.0,351002000000.0,63090000000.0,,162431000000.0,176726000000.0,,125481000000.0,70718000000.0,835000000.0,653000000.0,20200000000.0,-20382000000.0,20200000000.0,-20382000000.0,835000000.0,653000000.0,60112000000.0,20551000000.0,0,11388000000.0,1.2300000000000004,20551000000.0,23786000000.0,20551000000.0,5772000000.0,60112000000.0,-71384000.0,35174000000.0,0,-76608000.0,20551000000.0,48186000000.0,-538000000.0,0,23248000000.0,2697000000.0,1.25,5616000000.0,83360000000.0,672000000.0,-4037000000.0,,,,,
15,2020-09-27,2021-09-25,annual,FY,2021,0000320193,3571,['AAPL'],Apple Inc.,2021-10-29,,https://api.polygon.io/v1/reference/sec/filings/0000320193-21-000105,http://api.polygon.io/v1/reference/sec/filings/0000320193-21-000105/files/aapl-20210925_htm.xml,54763000000.0,0,128256000000.0,351002000000.0,216166000000.0,63090000000.0,134836000000.0,6580000000.0,39440000000.0,287912000000.0,351002000000.0,63090000000.0,,162431000000.0,176726000000.0,,125481000000.0,70718000000.0,-14545000000.0,-3860000000.0,104038000000.0,-93353000000.0,104038000000.0,-93353000000.0,-14545000000.0,-3860000000.0,256610000000.0,94680000000.0,0,43887000000.0,5.61,94680000000.0,108949000000.0,94680000000.0,21914000000.0,256610000000.0,16701272000.0,152836000000.0,0,16864919000.0,94680000000.0,212981000000.0,258000000.0,0,109207000000.0,14527000000.0,5.67,21973000000.0,365817000000.0,2645000000.0,-4774000000.0,,,,,
